areakm2 , gid , regiao_hid 
1249935.10507, 1, Regiao Hidrografica do Tocantins
5994062.69568, 2, Regiao Hidrografica Amazonica
519930.601602, 3, Regiao Hidrografica do Paraguai
347884.235444, 4, Regiao Hidrografica Atlantico Nordeste Oriental
477237.484227, 5, Regiao Hidrografica Atlantico Leste
1170156.22715, 6, Regiao Hidrografica do Parana
425285.144095, 7, Regiao Hidrografica do Parnaiba
807750.984051, 8, Regiao Hidrografica do Sao Francisco
244055.081704, 9, Regiao Hidrografica Atlantico Sul
232415.907519, 10, Regiao Hidrografica do Uruguai
267017.290259, 11, Regiao Hidrografica Atlantico  Sudeste
358837.716338, 12, Regiao Hidrografica Atlantico Nordeste Ocidental
